Year,PUMA,County,Metro
2011,100,Greater MN,0
2011,200,Greater MN,0
2011,300,Greater MN,0
2011,400,Greater MN,0
2011,500,Greater MN,0
2011,600,Greater MN,0
2011,700,Greater MN,0
2011,800,Greater MN,0
2011,900,Greater MN,0
2011,1001,Metro,1
2011,1002,Metro,1
2011,1100,Metro,1
2011,1201,Metro,1
2011,1202,Metro,1
2011,1203,Greater MN,0
2011,1203,Metro,1
2011,1301,Hennepin,1
2011,1302,Hennepin,1
2011,1303,Hennepin,1
2011,1401,Hennepin,1
2011,1402,Hennepin,1
2011,1403,Hennepin,1
2011,1404,Hennepin,1
2011,1405,Hennepin,1
2011,1406,Hennepin,1
2011,1501,Ramsey,1
2011,1502,Ramsey,1
2011,1601,Ramsey,1
2011,1602,Metro,1
2011,1602,Ramsey,1
2011,1700,Metro,1
2011,1700,Ramsey,1
2011,1800,Greater MN,0
2011,1900,Greater MN,0
2011,2000,Greater MN,0
2011,2100,Greater MN,0
2011,2100,Metro,1
2011,2200,Greater MN,0
2011,2300,Greater MN,0
2011,2400,Greater MN,0
2011,2500,Greater MN,0
2012,100,Greater MN,0
2012,200,Greater MN,0
2012,300,Greater MN,0
2012,400,Greater MN,0
2012,500,Greater MN,0
2012,600,Greater MN,0
2012,700,Greater MN,0
2012,800,Greater MN,0
2012,900,Greater MN,0
2012,1000,Greater MN,0
2012,1101,Metro,1
2012,1102,Metro,1
2012,1103,Metro,1
2012,1201,Metro,1
2012,1202,Metro,1
2012,1301,Ramsey,1
2012,1302,Ramsey,1
2012,1303,Ramsey,1
2012,1304,Ramsey,1
2012,1401,Hennepin,1
2012,1402,Hennepin,1
2012,1403,Hennepin,1
2012,1404,Hennepin,1
2012,1405,Hennepin,1
2012,1406,Hennepin,1
2012,1407,Hennepin,1
2012,1408,Hennepin,1
2012,1409,Hennepin,1
2012,1410,Hennepin,1
2012,1501,Metro,1
2012,1502,Metro,1
2012,1502,Metro,1
2012,1503,Metro,1
2012,1600,Metro,1
2012,1700,Metro,1
2012,1800,Greater MN,0
2012,1900,Greater MN,0
2012,2000,Greater MN,0
2012,2100,Greater MN,0
2012,2200,Greater MN,0
2012,2300,Greater MN,0
2012,2400,Greater MN,0
2012,2500,Greater MN,0
2012,2600,Greater MN,0
2013,100,Greater MN,0
2013,200,Greater MN,0
2013,300,Greater MN,0
2013,400,Greater MN,0
2013,500,Greater MN,0
2013,600,Greater MN,0
2013,700,Greater MN,0
2013,800,Greater MN,0
2013,900,Greater MN,0
2013,1000,Greater MN,0
2013,1101,Metro,1
2013,1102,Metro,1
2013,1103,Metro,1
2013,1201,Metro,1
2013,1202,Metro,1
2013,1301,Ramsey,1
2013,1302,Ramsey,1
2013,1303,Ramsey,1
2013,1304,Ramsey,1
2013,1401,Hennepin,1
2013,1402,Hennepin,1
2013,1403,Hennepin,1
2013,1404,Hennepin,1
2013,1405,Hennepin,1
2013,1406,Hennepin,1
2013,1407,Hennepin,1
2013,1408,Hennepin,1
2013,1409,Hennepin,1
2013,1410,Hennepin,1
2013,1501,Metro,1
2013,1502,Metro,1
2013,1502,Metro,1
2013,1503,Metro,1
2013,1600,Metro,1
2013,1700,Metro,1
2013,1800,Greater MN,0
2013,1900,Greater MN,0
2013,2000,Greater MN,0
2013,2100,Greater MN,0
2013,2200,Greater MN,0
2013,2300,Greater MN,0
2013,2400,Greater MN,0
2013,2500,Greater MN,0
2014,100,Greater MN,0
2014,200,Greater MN,0
2014,300,Greater MN,0
2014,400,Greater MN,0
2014,500,Greater MN,0
2014,600,Greater MN,0
2014,700,Greater MN,0
2014,800,Greater MN,0
2014,900,Greater MN,0
2014,1000,Greater MN,0
2014,1101,Metro,1
2014,1102,Metro,1
2014,1103,Metro,1
2014,1201,Metro,1
2014,1202,Metro,1
2014,1301,Ramsey,1
2014,1302,Ramsey,1
2014,1303,Ramsey,1
2014,1304,Ramsey,1
2014,1401,Hennepin,1
2014,1402,Hennepin,1
2014,1403,Hennepin,1
2014,1404,Hennepin,1
2014,1405,Hennepin,1
2014,1406,Hennepin,1
2014,1407,Hennepin,1
2014,1408,Hennepin,1
2014,1409,Hennepin,1
2014,1410,Hennepin,1
2014,1501,Metro,1
2014,1502,Metro,1
2014,1502,Metro,1
2014,1503,Metro,1
2014,1600,Metro,1
2014,1700,Metro,1
2014,1800,Greater MN,0
2014,1900,Greater MN,0
2014,2000,Greater MN,0
2014,2100,Greater MN,0
2014,2200,Greater MN,0
2014,2300,Greater MN,0
2014,2400,Greater MN,0
2014,2500,Greater MN,0
2014,2600,Greater MN,0
2014,2600,Greater MN,0
2015,100,Greater MN,0
2015,200,Greater MN,0
2015,300,Greater MN,0
2015,400,Greater MN,0
2015,500,Greater MN,0
2015,600,Greater MN,0
2015,700,Greater MN,0
2015,800,Greater MN,0
2015,900,Greater MN,0
2015,1000,Greater MN,0
2015,1101,Metro,1
2015,1102,Metro,1
2015,1103,Metro,1
2015,1201,Metro,1
2015,1202,Metro,1
2015,1301,Ramsey,1
2015,1302,Ramsey,1
2015,1303,Ramsey,1
2015,1304,Ramsey,1
2015,1401,Hennepin,1
2015,1402,Hennepin,1
2015,1403,Hennepin,1
2015,1404,Hennepin,1
2015,1405,Hennepin,1
2015,1406,Hennepin,1
2015,1407,Hennepin,1
2015,1408,Hennepin,1
2015,1409,Hennepin,1
2015,1410,Hennepin,1
2015,1501,Metro,1
2015,1502,Metro,1
2015,1502,Metro,1
2015,1503,Metro,1
2015,1600,Metro,1
2015,1700,Metro,1
2015,1800,Greater MN,0
2015,1900,Greater MN,0
2015,2000,Greater MN,0
2015,2100,Greater MN,0
2015,2200,Greater MN,0
2015,2300,Greater MN,0
2015,2400,Greater MN,0
2015,2500,Greater MN,0
2015,2600,Greater MN,0
2015,2600,Greater MN,0
